
Estimated aggregate size of event trace:                   570MB
Estimated requirements for largest trace buffer (max_buf): 50MB
Estimated memory requirements (SCOREP_TOTAL_MEMORY):       52MB
(hint: When tracing set SCOREP_TOTAL_MEMORY=52MB to avoid intermediate flushes
 or reduce requirements using USR regions filters.)

flt     type max_buf[B]     visits time[s] time[%] time/visit[us]  region
         ALL 52,397,367 19,790,208  445.33   100.0          22.50  ALL
     OPENACC 33,006,428 14,045,736   81.47    18.3           5.80  OPENACC
         MPI 11,311,476  2,002,458  340.36    76.4         169.97  MPI
         MPI     20,700      3,600   89.61    20.1       24890.47  MPI_File_open
         MPI     20,400      3,600    0.63     0.1         176.05  MPI_Bcast
         MPI     19,500      7,350    0.67     0.2          90.95  MPI_File_set_view
         MPI     14,900        149    0.01     0.0          49.71  MPI_File_read_at
         MPI     12,900      3,600    1.88     0.4         523.40  MPI_File_close
         COM      3,900      1,800    0.88     0.2         486.50  miniweather_output
     OPENACC      3,900      1,800    0.04     0.0          24.49  acc_update@miniWeather_mpi_openacc.F90:759
     OPENACC      3,900      1,800    0.02     0.0          11.31  acc_download@miniWeather_mpi_openacc.F90:759
     OPENACC      3,900      1,800    0.02     0.0          11.57  acc_wait@miniWeather_mpi_openacc.F90:760
         MPI      3,900      1,800    0.01     0.0           7.94  MPI_File_get_info
         MPI      3,900      1,800    0.45     0.1         250.53  MPI_Comm_free
         MPI      3,900      1,800   81.75    18.4       45419.13  MPI_Comm_dup
     OPENACC        520        240    0.00     0.0          10.16  acc_upload@miniWeather_mpi_openacc.F90:111
         MPI         68         12    0.25     0.1       20473.01  MPI_Barrier
         MPI         52         24    0.00     0.0           4.81  MPI_Comm_size
     OPENACC         52         24    0.00     0.0           7.18  acc_wait@miniWeather_mpi_openacc.F90:136
      SCOREP         41         12    0.01     0.0         865.41  miniWeather_mpi_openacc
         MPI         26         12    7.56     1.7      630030.14  MPI_Init
         COM         26         12    0.00     0.0          15.22  miniweather_finalize
     OPENACC         26         12    0.00     0.0           7.20  acc_wait@miniWeather_mpi_openacc.F90:142
     OPENACC         26         12    0.00     0.0          14.67  acc_download@miniWeather_mpi_openacc.F90:142
     OPENACC         26         12    0.00     0.0         164.95  acc_data_exit@miniWeather_mpi_openacc.F90:111
     OPENACC         26         12    0.00     0.0          13.05  acc_wait@miniWeather_mpi_openacc.F90:111
     OPENACC         26         12    0.17     0.0       14099.39  acc_data_enter@miniWeather_mpi_openacc.F90:111
     OPENACC         26         12    0.03     0.0        2767.28  acc_init
         COM         26         12   12.12     2.7     1009644.44  miniweather_init
         COM         26         12    0.12     0.0       10307.27  MAIN_
         MPI         26         12    0.00     0.0         104.35  MPI_Finalize
